experiment,cell_id,opportunity_hash,mean_cumulative_ptrs,sd_cumulative_ptrs,minimum_cumulative_ptrs,maximum_cumulative_ptrs,mean_cost_multiplier,sd_cost_multiplier,mean_peak_sales_multiplier,sd_peak_sales_multiplier,mean_phase2_duration_years,mean_phase3_duration_years,mean_regulatory_duration_years,mean_total_duration_years,opportunity_quality_index,diversified_eNPV_usd_m,diversified_ePI,diversified_P5_NPV_usd_m,diversified_CVaR5_NPV_usd_m,piap_c0_primary_minimum_synergy,piap_c0_primary_delta_eNPV_usd_m,piap_c0_primary_P5_NPV_usd_m,piap_c0_primary_capacity_breach_probability,piap_c0_primary_eNPV_margin_usd_m,piap_c0_primary_P5_margin_usd_m,piap_c0_primary_breach_margin,piap_c0_primary_solution_exists,piap_c0_primary_minimum_normalized_margin,piap_c0_secondary_minimum_synergy,piap_c0_secondary_delta_eNPV_usd_m,piap_c0_secondary_P5_NPV_usd_m,piap_c0_secondary_capacity_breach_probability,piap_c0_secondary_eNPV_margin_usd_m,piap_c0_secondary_P5_margin_usd_m,piap_c0_secondary_breach_margin,piap_c0_secondary_solution_exists,piap_c0_secondary_minimum_normalized_margin,piap_c25_primary_minimum_synergy,piap_c25_primary_delta_eNPV_usd_m,piap_c25_primary_P5_NPV_usd_m,piap_c25_primary_capacity_breach_probability,piap_c25_primary_eNPV_margin_usd_m,piap_c25_primary_P5_margin_usd_m,piap_c25_primary_breach_margin,piap_c25_primary_solution_exists,piap_c25_primary_minimum_normalized_margin,piap_c25_secondary_minimum_synergy,piap_c25_secondary_delta_eNPV_usd_m,piap_c25_secondary_P5_NPV_usd_m,piap_c25_secondary_capacity_breach_probability,piap_c25_secondary_eNPV_margin_usd_m,piap_c25_secondary_P5_margin_usd_m,piap_c25_secondary_breach_margin,piap_c25_secondary_solution_exists,piap_c25_secondary_minimum_normalized_margin,msog_c0_primary_minimum_synergy,msog_c0_primary_delta_eNPV_usd_m,msog_c0_primary_P5_NPV_usd_m,msog_c0_primary_capacity_breach_probability,msog_c0_primary_eNPV_margin_usd_m,msog_c0_primary_P5_margin_usd_m,msog_c0_primary_breach_margin,msog_c0_primary_solution_exists,msog_c0_primary_minimum_normalized_margin,msog_c0_secondary_minimum_synergy,msog_c0_secondary_delta_eNPV_usd_m,msog_c0_secondary_P5_NPV_usd_m,msog_c0_secondary_capacity_breach_probability,msog_c0_secondary_eNPV_margin_usd_m,msog_c0_secondary_P5_margin_usd_m,msog_c0_secondary_breach_margin,msog_c0_secondary_solution_exists,msog_c0_secondary_minimum_normalized_margin,msog_c25_primary_minimum_synergy,msog_c25_primary_delta_eNPV_usd_m,msog_c25_primary_P5_NPV_usd_m,msog_c25_primary_capacity_breach_probability,msog_c25_primary_eNPV_margin_usd_m,msog_c25_primary_P5_margin_usd_m,msog_c25_primary_breach_margin,msog_c25_primary_solution_exists,msog_c25_primary_minimum_normalized_margin,msog_c25_secondary_minimum_synergy,msog_c25_secondary_delta_eNPV_usd_m,msog_c25_secondary_P5_NPV_usd_m,msog_c25_secondary_capacity_breach_probability,msog_c25_secondary_eNPV_margin_usd_m,msog_c25_secondary_P5_margin_usd_m,msog_c25_secondary_breach_margin,msog_c25_secondary_solution_exists,msog_c25_secondary_minimum_normalized_margin,piap_s20_eNPV_usd_m,piap_s20_eDevCost_usd_m,piap_s20_ePI,piap_s20_sd_NPV_usd_m,piap_s20_P5_NPV_usd_m,piap_s20_CVaR5_NPV_usd_m,piap_s20_probability_NPV_negative,piap_s20_high_capacity_breach_probability,piap_s20_base_capacity_breach_probability,staged_minus_parallel_eNPV_usd_m,staged_minus_parallel_eDevCost_usd_m,staged_minus_parallel_P5_NPV_usd_m,staged_minus_parallel_probability_two_launches_by_year_9,staged_minus_parallel_protected_runway_years,parallel_base_capacity_breach_probability,staged_base_capacity_breach_probability,staged_minus_parallel_base_capacity_breach_probability,additivity_assumed_choice,additivity_true_oracle,additivity_wrong_value_choice,additivity_eNPV_regret_usd_m,additivity_assumed_delta_eNPV_usd_m,additivity_true_concentrated_minus_diversified_eNPV_usd_m,additivity_P5_shortfall_usd_m
E8,0,5c530a91c0355628,0.16635357893477462,0.01958831991369056,0.1483705732131256,0.19372815974960486,1.0242161893623438,0.08137139771895847,0.9747088265054468,0.18472569294341,1.8333333333333333,2.9166666666666665,1.0,5.75,0.1594199304873816,153.2294548971336,0.13047184419818644,-1201.6543801395783,-1363.9033416279615,0.26,255.36751209982137,-996.3105706997419,0.044062554536907064,255.36751209982137,3.689429300258098,0.05593744546309294,True,0.03689429300258098,,294.65482165364017,-964.756129681821,0.6046077674665552,294.65482165364017,535.243870318179,-0.4046077674665552,False,16.184310698662205,0.26,73.27486270056832,-996.3105706997419,0.044062554536907064,73.27486270056832,3.689429300258098,0.05593744546309294,True,0.03689429300258098,,112.56217225438715,-964.756129681821,0.6046747356634375,112.56217225438715,535.243870318179,-0.40467473566343753,False,16.1869894265375,0.24,235.72385732291227,-993.7405368221423,0.0338979926190455,235.72385732291227,6.259463177857697,0.06610200738095451,True,0.06259463177857696,,294.65482165364017,-947.8573427468314,0.5767135222933493,294.65482165364017,552.1426572531686,-0.37671352229334926,False,15.068540891733969,0.24,76.81005997597381,-993.7405368221423,0.0338979926190455,76.81005997597381,6.259463177857697,0.06610200738095451,True,0.06259463177857696,,135.74102430670163,-947.8573427468314,0.5767488460552349,135.74102430670163,552.1426572531686,-0.3767488460552349,False,15.069953842209395,349.6660026662271,977.988906541021,0.3575357555976128,1374.7777714479676,-1043.6422322266233,-1397.3913394881577,0.5307853947771093,0.0449255241215066,0.6321782146134944,-475.14221870677375,-112.46130143673963,-124.96986713274896,-0.14295650859916684,-2.387720179207599,0.6631723823084636,0.7589266838217625,0.09575430151329889,concentrated,diversified,True,83.87437551470623,98.21827388454679,-83.87437551470623,0.0
E8,1,95ed30664966b464,0.14200814774606138,0.02041042633050853,0.11723033968694604,0.16598257655917237,0.9692039614125765,0.1303816371978393,1.032099133854438,0.15710332526908746,1.75,2.75,0.8333333333333334,5.333333333333333,0.15089149926009887,292.4819263702142,0.2712271802673748,-1163.2413007989344,-1335.8167680611302,0.3,259.420444815334,-990.3840258864539,0.03666044327173652,259.420444815334,9.615974113546145,0.06333955672826348,True,0.09615974113546144,,259.420444815334,-990.3840258864539,0.6081243291221813,259.420444815334,509.61597411354614,-0.4081243291221813,False,16.32497316488725,0.3,92.28703631344962,-990.3840258864539,0.03666044327173652,92.28703631344962,9.615974113546145,0.06333955672826348,True,0.09615974113546144,,92.28703631344962,-990.3840258864539,0.6081243291221813,92.28703631344962,509.61597411354614,-0.4081243291221813,False,16.32497316488725,0.23,198.88900769175643,-993.0635718654635,0.03452254542881463,198.88900769175643,6.936428134536527,0.06547745457118537,True,0.06936428134536526,,259.42044481533424,-940.6118008926065,0.5724530265563222,259.42044481533424,559.3881991073935,-0.37245302655632223,False,14.898121062252889,0.23,56.76483637642468,-993.0635718654635,0.03452254542881463,56.76483637642468,6.936428134536527,0.06547745457118537,True,0.06936428134536526,,117.29627350000271,-940.6118008926065,0.5724530265563222,117.29627350000271,559.3881991073935,-0.37245302655632223,False,14.898121062252889,465.4288895804368,905.4181404710771,0.5140485580930378,1616.6478223874124,-1081.1994537845035,-1372.4681598482591,0.5655289167170077,0.04743963229274386,0.6095585877298205,-344.3191464859116,-82.46140003001744,-86.85984474385191,-0.05664766046155445,-1.931489819122616,0.6395618138527179,0.7023411811968572,0.06277936734413925,concentrated,diversified,True,80.6599268967727,86.47348160511149,-80.6599268967727,0.0
E8,2,cdba3dd3941a4a9a,0.16787982454829983,0.034008323160735314,0.11024232845471285,0.19913429156559737,1.0021006349017103,0.13790694217798558,1.0579666681291895,0.2149080583157538,1.8333333333333333,2.8333333333333335,1.0,5.666666666666667,0.17371785935984554,340.19218062390877,0.29418865843784836,-1183.171423474729,-1350.5772376471612,0.26,246.071145775582,-994.6073750654994,0.04264439211194862,246.071145775582,5.392624934500645,0.057355607888051385,True,0.053926249345006456,,283.92824512567137,-962.864459942844,0.5492848607844611,283.92824512567137,537.135540057156,-0.34928486078446114,False,13.971394431378444,0.26,45.927146599158675,-994.6073750654994,0.04264439211194862,45.927146599158675,5.392624934500645,0.057355607888051385,True,0.053926249345006456,,83.78424594924826,-962.864459942844,0.5492848607844611,83.78424594924826,537.135540057156,-0.34928486078446114,False,13.971394431378444,0.21,198.7497715879701,-996.8084880603174,0.03476650185176967,198.7497715879701,3.1915119396826412,0.06523349814823035,True,0.03191511939682641,,283.9282451256717,-914.7346397223466,0.5027370116973282,283.9282451256717,585.2653602776534,-0.3027370116973282,False,12.109480467893126,0.21,23.919747374335827,-996.8084880603174,0.03476650185176967,23.919747374335827,3.1915119396826412,0.06523349814823035,True,0.03191511939682641,,109.09822091203722,-914.7346397223466,0.5027370116973282,109.09822091203722,585.2653602776534,-0.3027370116973282,False,12.109480467893126,529.4776773743563,967.0887238953811,0.5474964853706998,1587.9432103392785,-1042.2217477494826,-1373.677482999238,0.5109884546620795,0.044497583446633064,0.564826957172267,-596.2053001158076,-133.49747349270547,-87.65285970742707,-0.22611656515966538,-2.8953120584529426,0.5843827611987674,0.6801859456781277,0.09580318447936031,concentrated,diversified,True,105.50125080119946,94.6427483752239,-105.50125080119946,0.0
E8,3,68122c903bb981ee,0.13692563365799162,0.03008461267579224,0.09876860874880503,0.16217859825993536,0.9729074341490412,0.09090483841618041,1.0562304226859587,0.26227465430888897,2.0,3.0,0.9166666666666666,5.916666666666667,0.15491864882648984,241.80090250610797,0.2322846789381664,-1139.2871337958559,-1297.3093280094306,0.18,163.13537976898837,-998.2867601206051,0.04630631096652546,163.13537976898837,1.713239879394905,0.053693689033474545,True,0.017132398793949052,,271.8922996149805,-871.2228339539548,0.619122746945766,271.8922996149805,628.7771660460452,-0.41912274694576596,False,16.764909877830636,0.18,23.67787932251005,-998.2867601206051,0.04630631096652546,23.67787932251005,1.713239879394905,0.053693689033474545,True,0.017132398793949052,,132.4347991685024,-871.2228339539548,0.6195434541773962,132.4347991685024,628.7771660460452,-0.4195434541773962,False,16.781738167095845,0.16,145.0092264613231,-997.2921710758878,0.036111750395192245,145.0092264613231,2.707828924112164,0.06388824960480777,True,0.02707828924112164,,271.8922996149805,-851.6966842487849,0.5885884049843256,271.8922996149805,648.3033157512151,-0.3885884049843256,False,15.543536199373024,0.16,26.77746737761933,-997.2921710758878,0.036111750395192245,26.77746737761933,2.707828924112164,0.06388824960480777,True,0.02707828924112164,,153.6605405312769,-851.6966842487849,0.5887794100114503,153.6605405312769,648.3033157512151,-0.3887794100114503,False,15.55117640045801,423.06243558276174,859.7064016637805,0.49210106469372983,1556.1549536655075,-975.8499695191182,-1311.9767352988954,0.5842323821530936,0.04630631096652546,0.6201295491085492,-536.5114286132884,-117.10344885909535,-39.03831648866162,-0.1630976304849837,-2.989589175593059,0.6733782324643418,0.8055438127695597,0.13216558030521786,concentrated,diversified,True,48.82673390815114,90.63076653832692,-48.82673390815114,0.0
E8,4,9e719d445afde677,0.16490197825788663,0.03135304020275403,0.13696328570915245,0.2125727252811648,1.0073034474359714,0.10506607651069914,1.0795215701592265,0.15937715539035724,1.9166666666666667,2.9166666666666665,0.9166666666666666,5.75,0.17931399219597188,352.8244590663784,0.3090003053904665,-1178.0039353091067,-1334.9879703082956,0.25,234.60117558978948,-996.3689761181935,0.04380986217674435,234.60117558978948,3.6310238818065272,0.05619013782325565,True,0.03631023881806527,,281.5214107077477,-956.6464150090856,0.5244056648174846,281.5214107077477,543.3535849909144,-0.3244056648174846,False,12.976226592699383,0.25,32.44881320353238,-996.3689761181935,0.04380986217674435,32.44881320353238,3.6310238818065272,0.05619013782325565,True,0.03631023881806527,,79.36904832149042,-956.6464150090856,0.5244056648174846,79.36904832149042,543.3535849909144,-0.3244056648174846,False,12.976226592699383,0.21,197.0649874954231,-993.9705294806629,0.034545239403299274,197.0649874954231,6.02947051933711,0.06545476059670073,True,0.0602947051933711,,281.52141070774746,-911.8342255559687,0.472362350022151,281.52141070774746,588.1657744440313,-0.272362350022151,False,10.894494000886038,0.21,20.47992973131585,-993.9705294806629,0.034545239403299274,20.47992973131585,6.02947051933711,0.06545476059670073,True,0.0602947051933711,,104.93635294364026,-911.8342255559687,0.472362350022151,104.93635294364026,588.1657744440313,-0.272362350022151,False,10.894494000886038,540.5053995382102,954.1446594107761,0.5664816065438072,1576.2555671743587,-1036.0915372273014,-1363.54847858407,0.5045841009946146,0.04452132104527243,0.5317979618247631,-529.2898977781485,-122.95273176949877,-68.39920083423522,-0.16045284223350825,-2.599218114975879,0.5452682815406695,0.6261041494877879,0.08083586794711839,concentrated,diversified,True,108.3118921503413,93.84047023591586,-108.3118921503413,0.0
E8,5,1bb04ec2bf1cc4eb,0.14653283471994916,0.021565215624248155,0.12327081502052142,0.17257055054378262,1.0087019989305792,0.15202569404900534,0.8477551161389693,0.12293261859639439,2.1666666666666665,3.1666666666666665,1.0,6.333333333333333,0.12431901337797736,-251.57713397660171,-0.2328738602267117,-1172.9274599943908,-1327.4285499728478,0.29,252.87932456861432,-990.132249760176,0.03865974777767163,252.87932456861432,9.867750239823977,0.061340252222328376,True,0.09867750239823976,,261.59930127787686,-977.7961448770727,0.7538586505386983,261.59930127787686,522.2038551229273,-0.5538586505386982,False,22.154346021547926,0.29,134.15268213468653,-990.132249760176,0.03865974777767163,134.15268213468653,9.867750239823977,0.061340252222328376,True,0.09867750239823976,,142.87265884394895,-977.7961448770727,0.7706910284200054,142.87265884394895,522.2038551229273,-0.5706910284200053,False,22.82764113680021,0.22,191.83948760377632,-994.6014594277613,0.0470713245056297,191.83948760377632,5.398540572238744,0.0529286754943703,True,0.05398540572238744,,261.5993012778769,-939.612166123494,0.7519469591255086,261.5993012778769,560.387833876506,-0.5519469591255086,False,22.077878365020343,0.22,89.94531398469871,-994.6014594277613,0.0470713245056297,89.94531398469871,5.398540572238744,0.0529286754943703,True,0.05398540572238744,,159.70512765879937,-939.612166123494,0.7685227322881685,159.70512765879937,560.387833876506,-0.5685227322881685,False,22.74090929152674,-77.17759979135046,905.9155073212607,-0.08519293374230906,850.8124144328237,-1071.08527577643,-1356.1083346155726,0.6331001731865186,0.05561741046155948,0.7702724948872748,-326.62543029526415,-122.87448009169805,-76.13186722918317,-0.22548103083322282,-3.2006893135396393,0.777265815157299,0.9925228076483952,0.2152569924910962,concentrated,diversified,True,31.526875341302286,87.19976709262548,-31.526875341302286,0.0
E8,6,6531ca6228191acc,0.15536677240632957,0.03721582124508727,0.10228169260397448,0.21530644594870596,1.0274977981705795,0.17702982767966752,0.9871129382684675,0.2872659779975413,2.3333333333333335,3.3333333333333335,1.0,6.666666666666667,0.15612311159290007,-90.46418545681482,-0.08202237564198783,-1195.8198568813123,-1337.2689363676438,0.23,218.14169217913573,-988.4890871959883,0.04514236389185138,218.14169217913573,11.510912804011696,0.05485763610814862,True,0.11510912804011696,,284.53264197278577,-910.8734655612022,0.6329959973859691,284.53264197278577,589.1265344387978,-0.4329959973859691,False,17.319839895438765,0.23,88.8372634411804,-988.4890871959883,0.04514236389185138,88.8372634411804,11.510912804011696,0.05485763610814862,True,0.11510912804011696,,155.22821323483046,-910.8734655612022,0.6393772712061001,155.22821323483046,589.1265344387978,-0.4393772712061001,False,17.575090848244002,0.2,189.68842798185727,-989.7083826006918,0.03603791866855979,189.68842798185727,10.291617399308166,0.06396208133144021,True,0.10291617399308166,,284.5326419727859,-887.0770470447951,0.6049005919284819,284.5326419727859,612.9229529552049,-0.4049005919284819,False,16.196023677139273,0.2,78.55202284263011,-989.7083826006918,0.03603791866855979,78.55202284263011,10.291617399308166,0.06396208133144021,True,0.10291617399308166,,173.39623683355873,-887.0770470447951,0.6114484822080376,173.39623683355873,612.9229529552049,-0.4114484822080376,False,16.4579392883215,99.22424252504248,913.2323878169182,0.10865169024747141,1059.178068068625,-1024.1215296838466,-1343.401591993592,0.5853029985460095,0.04636036538625645,0.6388716805934511,-454.87752502533124,-133.18217440723356,-15.33726852757286,-0.23469186913115464,-2.977579333881507,0.6777421104630472,0.8481123191260197,0.17037020866297248,concentrated,diversified,True,34.46021474702684,94.8442139909287,-34.46021474702684,0.0
E8,7,ed56901c9e654e08,0.16973357196336655,0.034169514702680974,0.11205518605578119,0.21340766617722048,0.9529422796091223,0.08741096632284641,0.8067617385304707,0.16886449098457745,1.8333333333333333,2.8333333333333335,0.9166666666666666,5.583333333333333,0.14613417246478905,-36.268031562283284,-0.03298491853542598,-1124.6016091426363,-1275.3657909818096,0.21,191.7668282923504,-999.6509101805474,0.043205720361952964,191.7668282923504,0.3490898194526153,0.05679427963804704,True,0.003490898194526153,,273.95261184621484,-926.7118136359206,0.6606346776683945,273.95261184621484,573.2881863640794,-0.46063467766839444,False,18.425387106735776,0.21,39.62931480987941,-999.6509101805474,0.043205720361952964,39.62931480987941,0.3490898194526153,0.05679427963804704,True,0.003490898194526153,,121.81509836374384,-926.7118136359206,0.6757329396205332,121.81509836374384,573.2881863640794,-0.47573293962053315,False,19.029317584821325,0.15,136.9763059231073,-998.4091834475704,0.034674196257976006,136.9763059231073,1.590816552429601,0.065325803742024,True,0.01590816552429601,,273.95261184621484,-837.6800065935047,0.6404747596045378,273.95261184621484,662.3199934064953,-0.4404747596045378,False,17.61899038418151,0.15,4.341572026783069,-998.4091834475704,0.034674196257976006,4.341572026783069,1.590816552429601,0.065325803742024,True,0.01590816552429601,,141.31787794989052,-837.6800065935047,0.656942560110805,141.31787794989052,662.3199934064953,-0.456942560110805,False,18.277702404432198,146.36704300185986,916.8986873073986,0.15963273263231204,1047.603386817206,-1006.886693339366,-1304.7916401025418,0.5665699772771317,0.043205720361952964,0.6668348809690722,-393.4819083647149,-124.95404047326372,-153.43461584098236,-0.12819249713783631,-3.008539029879552,0.6923231400216481,0.8459899310844752,0.1536667910628271,concentrated,diversified,True,60.81997620039934,91.31753728207151,-60.81997620039934,0.0
E8,8,e702189747991170,0.13252276165597107,0.02383042101570857,0.09386987769737173,0.1572151747053678,0.9555629185186686,0.12043295347804345,1.1341620565739101,0.12520723872081757,1.8333333333333333,2.8333333333333335,0.9166666666666666,5.583333333333333,0.16236541418630093,366.53785918547317,0.3571162698841637,-1121.9872746961544,-1301.2257595105632,0.24,204.12198453482472,-998.8226057995423,0.04344248735310498,204.12198453482472,1.1773942004576838,0.05655751264689503,True,0.011773942004576838,,255.15248066853098,-950.0098515345512,0.567676122148434,255.15248066853098,549.9901484654488,-0.367676122148434,False,14.707044885937359,0.24,44.45584613035521,-998.8226057995423,0.04344248735310498,44.45584613035521,1.1773942004576838,0.05655751264689503,True,0.011773942004576838,,95.48634226406125,-950.0098515345512,0.567676122148434,95.48634226406125,549.9901484654488,-0.367676122148434,False,14.707044885937359,0.17,144.58640571216762,-994.6072695426247,0.03730234099935428,144.58640571216762,5.392730457375251,0.06269765900064572,True,0.053927304573752506,,255.15248066853087,-876.7922713120089,0.5155815183157371,255.15248066853087,623.2077286879911,-0.31558151831573705,False,12.62326073262948,0.17,9.017387947375596,-994.6072695426247,0.03730234099935428,9.017387947375596,5.392730457375251,0.06269765900064572,True,0.053927304573752506,,119.58346290373896,-876.7922713120089,0.5155815183157371,119.58346290373896,623.2077286879911,-0.31558151831573705,False,12.62326073262948,536.6395129644936,856.2807602856352,0.6267097637292274,1716.619239365054,-1031.3644419762031,-1324.6564114180312,0.5656906686349711,0.04710311483939256,0.5739419593139418,-433.33253469463364,-96.97003929063169,-45.04064372039193,-0.11532024480532382,-2.438713075155384,0.5991633620116814,0.6643658205623063,0.0652024585506249,concentrated,diversified,True,74.61531151495956,85.05082688951018,-74.61531151495956,0.0
E8,9,e2f3f43b69c25c1e,0.14298381709112087,0.03571825093496664,0.10104439268200474,0.18826556121736654,0.982241716709049,0.10668420907020182,1.1662291880206797,0.2762730192181122,1.8333333333333333,2.8333333333333335,0.9166666666666666,5.583333333333333,0.16678891578403185,404.02614599534127,0.37394578827798003,-1176.209796607352,-1331.1522389639895,0.28,239.56455234978478,-999.5771588442202,0.038311563110692524,239.56455234978478,0.42284115577979264,0.06168843688930748,True,0.004228411557797926,,256.67630608905506,-976.6131400277186,0.5847827742120015,256.67630608905506,523.3868599722814,-0.3847827742120015,False,15.39131096848006,0.28,60.7829406831724,-999.5771588442202,0.038311563110692524,60.7829406831724,0.42284115577979264,0.06168843688930748,True,0.004228411557797926,,77.89469442244257,-976.6131400277186,0.5847827742120015,77.89469442244257,523.3868599722814,-0.3847827742120015,False,15.39131096848006,0.22,188.22929113197358,-998.8895996414199,0.03593174165488948,188.22929113197358,1.1104003585801365,0.06406825834511053,True,0.011104003585801365,,256.67630608905495,-942.4822752195096,0.543212119512752,256.67630608905495,557.5177247804904,-0.34321211951275193,False,13.728484780510076,0.22,35.91270393492323,-998.8895996414199,0.03593174165488948,35.91270393492323,1.1104003585801365,0.06406825834511053,True,0.011104003585801365,,104.3597188920046,-942.4822752195096,0.543212119512752,104.3597188920046,557.5177247804904,-0.34321211951275193,False,13.728484780510076,575.1436833880447,909.3228864876706,0.63249665430679,1731.2935345112255,-1071.4673095425117,-1368.7904162284633,0.5478587253156897,0.0468520488965367,0.5866446414425254,-407.2338231032437,-91.63763749802376,-64.20069791321316,-0.0674047431659538,-2.145371505082595,0.593098238022631,0.673084175002715,0.07998593698008405,concentrated,diversified,True,93.22284297026056,85.55876869635188,-93.22284297026056,0.0
