cell_id,opportunity_hash,frontier_synergy,previous_synergy,n_runs,mc_delta_eNPV_usd_m,mc_delta_eNPV_half_width_usd_m,exact_delta_eNPV_usd_m,mc_minus_exact_delta_eNPV_usd_m,mc_P5_NPV_usd_m,exact_P5_NPV_usd_m,mc_minus_exact_P5_usd_m,mc_capacity_breach_probability,mc_capacity_breach_half_width,exact_capacity_breach_probability,mc_minus_exact_capacity_breach_probability,previous_mc_delta_eNPV_usd_m,previous_mc_P5_NPV_usd_m,previous_mc_capacity_breach_probability,eNPV_precision_pass,probability_precision_pass,exact_delta_inside_mc_interval,exact_breach_inside_mc_interval
179,ee1f68824568a7e2,0.0,0.0,250000,5.87518546069501,5.124059094884105,0.0,5.87518546069501,-983.1392960524703,-983.1392960524703,0.0,0.046076,0.0008218268755491472,0.04658148388994478,-0.0005054838899447786,5.87518546069501,-983.1392960524703,0.046076,True,True,False,True
247,36e488fb28fa3f4b,0.23,0.22,250000,209.78102367885393,5.961621140564153,213.41185959837162,-3.6308359195176934,-989.0887462590488,-999.9589662711808,10.870220012131995,0.042436,0.0007902003041477683,0.042601496504878024,-0.00016549650487802242,200.51667018859217,-1004.1884474517218,0.042528,True,True,True,True
616,1936f93200efa9c7,0.28,0.27,250000,240.5337423310536,5.521198516351744,239.7259223209525,0.8078200101010964,-997.4970839330613,-999.9479639539802,2.4508800209189303,0.038364,0.0007529278557231534,0.038944993307188785,-0.0005809933071887832,231.98013652446855,-1010.1710008505186,0.03928,True,True,True,True
368,764ed8ed163ee607,0.24,0.22999999999999998,250000,223.20045158040045,5.6779908011479545,223.1070680356949,0.09338354470554577,-999.9416987728943,-999.9416987728943,0.0,0.044612,0.0008092855850493559,0.04413474063496404,0.0004772593650359605,213.90796034637833,-1007.8030012595348,0.044612,True,True,True,True
759,0af70563772a2cec,0.3,0.29,250000,287.69802306806315,5.802104876059948,286.03512184276707,1.662901225296082,-999.9396529225643,-999.9396529225643,0.0,0.033876,0.0007091670756676692,0.03411599716622144,-0.00023999716622143813,278.16932752182674,-1007.8609579274001,0.036252,True,True,True,True
555,b78f5ebff46888b4,0.26,0.25,250000,247.06094890208274,6.898709064435228,238.55288206553843,8.508066836544316,-984.5191367002187,-999.9204838694952,15.401347169276505,0.04416,0.0008053658307304575,0.04510317153074691,-0.0009431715307469113,237.87692822844772,-996.6132570870187,0.045152,True,True,False,False
52,1f831a8d6b5b607c,0.18,0.16999999999999998,250000,168.12090587799287,5.601829626143552,164.58935039650268,3.5315554814901873,-999.7852674533063,-999.8845183974148,0.09925094410846214,0.042828,0.0007936791233169878,0.04333392679530508,-0.0005059267953050825,158.9668113642782,-1007.0410853623317,0.042828,True,True,True,True
911,6039744fd0ccd0ca,0.21,0.19999999999999998,250000,195.8222219701946,5.443781075768094,198.82054596905897,-2.998323998864379,-998.3028008761409,-999.8434558525225,1.5406549763816884,0.044568,0.000808905021058076,0.04548174666437064,-0.0009137466643706349,186.36625459064294,-1008.1317150440867,0.044816,True,True,True,False
