strategy,topology,rho,loe_year,acceleration_years,cannibalization,capacity_profile,risk_policy_profile,minimum_synergy,solution_exists,binding_P5_NPV_usd_m,binding_capacity_breach_probability,delta_eNPV_at_frontier_usd_m,n_runs
MSOG,same_indication,0.1,12.0,1.0,0.0,high,balanced,0.21,True,-999.4137847376085,0.02704,409.09244245165706,100000
MSOG,same_indication,0.1,12.0,1.0,0.0,high,growth,0.0,True,-1175.82010020594,0.0938,211.81635248487487,100000
MSOG,same_indication,0.1,12.0,1.5,0.0,low,preservation,,False,,,,100000
MSOG,same_indication,0.1,12.0,1.5,0.0,low,balanced,,False,,,,100000
MSOG,same_indication,0.1,12.0,1.5,0.0,low,growth,,False,,,,100000
MSOG,same_indication,0.1,12.0,1.5,0.0,base,preservation,,False,,,,100000
MSOG,same_indication,0.1,12.0,1.5,0.0,base,balanced,,False,,,,100000
MSOG,same_indication,0.1,12.0,1.5,0.0,base,growth,,False,,,,100000
MSOG,same_indication,0.1,12.0,1.5,0.0,high,preservation,,False,,,,100000
MSOG,same_indication,0.1,12.0,1.5,0.0,high,balanced,0.22,True,-997.3040860935519,0.02704,535.9739157104391,100000
MSOG,same_indication,0.1,12.0,1.5,0.0,high,growth,0.0,True,-1190.266435314048,0.0938,326.70869557282447,100000
MSOG,same_indication,0.1,15.0,0.0,0.0,low,preservation,,False,,,,100000
MSOG,same_indication,0.1,15.0,0.0,0.0,low,balanced,,False,,,,100000
MSOG,same_indication,0.1,15.0,0.0,0.0,low,growth,,False,,,,100000
MSOG,same_indication,0.1,15.0,0.0,0.0,base,preservation,,False,,,,100000
MSOG,same_indication,0.1,15.0,0.0,0.0,base,balanced,,False,,,,100000
MSOG,same_indication,0.1,15.0,0.0,0.0,base,growth,,False,,,,100000
MSOG,same_indication,0.1,15.0,0.0,0.0,high,preservation,,False,,,,100000
MSOG,same_indication,0.1,15.0,0.0,0.0,high,balanced,0.19,True,-996.9177731667368,0.02745,170.32071777684075,100000
MSOG,same_indication,0.1,15.0,0.0,0.0,high,growth,0.01,True,-1140.6398836483202,0.09376,5.268308672355073,100000
MSOG,same_indication,0.1,15.0,0.5,0.0,low,preservation,,False,,,,100000
MSOG,same_indication,0.1,15.0,0.5,0.0,low,balanced,,False,,,,100000
MSOG,same_indication,0.1,15.0,0.5,0.0,low,growth,,False,,,,100000
MSOG,same_indication,0.1,15.0,0.5,0.0,base,preservation,,False,,,,100000
MSOG,same_indication,0.1,15.0,0.5,0.0,base,balanced,,False,,,,100000
MSOG,same_indication,0.1,15.0,0.5,0.0,base,growth,,False,,,,100000
MSOG,same_indication,0.1,15.0,0.5,0.0,high,preservation,,False,,,,100000
MSOG,same_indication,0.1,15.0,0.5,0.0,high,balanced,0.2,True,-998.9873428875355,0.02745,285.82841453531387,100000
MSOG,same_indication,0.1,15.0,0.5,0.0,high,growth,0.0,True,-1161.8183631345016,0.09376,100.22866554028505,100000
