experiment,geometry,cluster_size,rho,nominal_breadth,launch_target_per_3y,service_probability,service_half_width,mean_launches_per_3y,variance_launches_per_3y,effective_breadth,n_runs
E6,Diversified,1,0.0,1,1,0.151856,0.0014068145200020967,0.151856,0.1287962704490818,1.0,250000
E6,Diversified,1,0.0,1,2,0.0,0.0,0.151856,0.1287962704490818,1.0,250000
E6,Diversified,1,0.0,1,3,0.0,0.0,0.151856,0.1287962704490818,1.0,250000
E6,Diversified,1,0.0,2,1,0.27924,0.0017586127601627824,0.302348,0.257150715498862,1.9960351987812748,250000
E6,Diversified,1,0.0,2,2,0.023108,0.000588966404891748,0.302348,0.257150715498862,1.9960351987812748,250000
E6,Diversified,1,0.0,2,3,0.0,0.0,0.302348,0.257150715498862,1.9960351987812748,250000
E6,Diversified,1,0.0,3,1,0.388504,0.001910647738381656,0.453996,0.3860611762287049,2.9940255238493947,250000
E6,Diversified,1,0.0,3,2,0.061896,0.0009445889326534678,0.453996,0.3860611762287049,2.9940255238493947,250000
E6,Diversified,1,0.0,3,3,0.003596,0.00023464626176962117,0.453996,0.3860611762287049,2.9940255238493947,250000
E6,Diversified,1,0.0,4,1,0.481316,0.0019586310818793724,0.605992,0.5154157575990305,3.9904567327900207,250000
E6,Diversified,1,0.0,4,2,0.111588,0.0012342468341336747,0.605992,0.5154157575990305,3.9904567327900207,250000
E6,Diversified,1,0.0,4,3,0.012528,0.0004360028562667249,0.605992,0.5154157575990305,3.9904567327900207,250000
E6,Diversified,1,0.0,5,1,0.560332,0.0019456790765380414,0.757536,0.6432937818791276,4.995890046740532,250000
E6,Diversified,1,0.0,5,2,0.167124,0.0014624992488558185,0.757536,0.6432937818791276,4.995890046740532,250000
E6,Diversified,1,0.0,5,3,0.027616,0.0006423701565279334,0.757536,0.6432937818791276,4.995890046740532,250000
E6,Diversified,1,0.0,6,1,0.627444,0.0018952623417360906,0.9094,0.7718987275949104,5.997420232983826,250000
E6,Diversified,1,0.0,6,2,0.226232,0.0016400929696664412,0.9094,0.7718987275949104,5.997420232983826,250000
E6,Diversified,1,0.0,6,3,0.04904,0.000846530134564482,0.9094,0.7718987275949104,5.997420232983826,250000
E6,Diversified,1,0.0,7,1,0.68376,0.0018228306111494176,1.060756,0.9002123093132374,6.998463526901045,250000
E6,Diversified,1,0.0,7,2,0.28714,0.0017735157031485683,1.060756,0.9002123093132374,6.998463526901045,250000
E6,Diversified,1,0.0,7,3,0.075728,0.001037084656319754,1.060756,0.9002123093132374,6.998463526901045,250000
E6,Diversified,1,0.0,8,1,0.731832,0.0017365817845156404,1.211964,1.0269193703814814,8.011218017270155,250000
E6,Diversified,1,0.0,8,2,0.347172,0.001866198342129052,1.211964,1.0269193703814814,8.011218017270155,250000
E6,Diversified,1,0.0,8,3,0.107496,0.0012141918255605814,1.211964,1.0269193703814814,8.011218017270155,250000
E6,Diversified,1,0.0,9,1,0.772828,0.0016424981610818389,1.36298,1.1519581274325095,9.036031961552071,250000
E6,Diversified,1,0.0,9,2,0.405336,0.0019245512454000558,1.36298,1.1519581274325095,9.036031961552071,250000
E6,Diversified,1,0.0,9,3,0.143484,0.0013742177213873358,1.36298,1.1519581274325095,9.036031961552071,250000
E6,Diversified,1,0.0,10,1,0.806712,0.0015479173631347762,1.513632,1.2814352943171765,10.024123288087056,250000
E6,Diversified,1,0.0,10,2,0.461064,0.001954048195855984,1.513632,1.2814352943171765,10.024123288087056,250000
E6,Diversified,1,0.0,10,3,0.182648,0.0015146004878139894,1.513632,1.2814352943171765,10.024123288087056,250000
E6,Diversified,1,0.0,11,1,0.836012,0.0014514375593657617,1.665028,1.4074113888615558,11.043697281763471,250000
E6,Diversified,1,0.0,11,2,0.513684,0.0019592658352250115,1.665028,1.4074113888615558,11.043697281763471,250000
E6,Diversified,1,0.0,11,3,0.225056,0.001637067267075782,1.665028,1.4074113888615558,11.043697281763471,250000
E6,Diversified,1,0.0,12,1,0.860716,0.0013572711577996643,1.816128,1.538501241620967,12.021608282626048,250000
E6,Diversified,1,0.0,12,2,0.562004,0.0019448711876162228,1.816128,1.538501241620967,12.021608282626048,250000
E6,Diversified,1,0.0,12,3,0.268672,0.0017376142591584655,1.816128,1.538501241620967,12.021608282626048,250000
E6,Diversified,1,0.0,13,1,0.881792,0.001265588672098826,1.967376,1.6681823473533897,13.011391792459913,250000
E6,Diversified,1,0.0,13,2,0.606852,0.001914720980831195,1.967376,1.6681823473533897,13.011391792459913,250000
E6,Diversified,1,0.0,13,3,0.312968,0.0018177096681234895,1.967376,1.6681823473533897,13.011391792459913,250000
E6,Diversified,1,0.0,14,1,0.899636,0.001177900105990939,2.118096,1.797852526194105,13.99840855040829,250000
E6,Diversified,1,0.0,14,2,0.64786,0.0018723383393058424,2.118096,1.797852526194105,13.99840855040829,250000
E6,Diversified,1,0.0,14,3,0.357244,0.0018784152630352026,2.118096,1.797852526194105,13.99840855040829,250000
E6,Diversified,1,0.0,15,1,0.91474,0.0010947313781706268,2.270084,1.9280503451453797,14.988221056727717,250000
E6,Diversified,1,0.0,15,2,0.686228,0.0018189777102017117,2.270084,1.9280503451453797,14.988221056727717,250000
E6,Diversified,1,0.0,15,3,0.400964,0.0019211674476697614,2.270084,1.9280503451453797,14.988221056727717,250000
E6,Diversified,1,0.0,16,1,0.927444,0.001016872683792307,2.422232,2.06239238774555,15.946806887589332,250000
E6,Diversified,1,0.0,16,2,0.720388,0.001759329581082714,2.422232,2.06239238774555,15.946806887589332,250000
E6,Diversified,1,0.0,16,3,0.444364,0.001947828378222441,2.422232,2.06239238774555,15.946806887589332,250000
E6,Diversified,1,0.0,17,1,0.93828,0.0009433334951554726,2.572828,2.1916808491393973,16.936181209485582,250000
E6,Diversified,1,0.0,17,2,0.751304,0.001694448281278475,2.572828,2.1916808491393973,16.936181209485582,250000
E6,Diversified,1,0.0,17,3,0.485972,0.001959228451787882,2.572828,2.1916808491393973,16.936181209485582,250000
E6,Diversified,1,0.0,18,1,0.947612,0.0008734081745140001,2.725688,2.3221622153048616,17.92857320995872,250000
E6,Diversified,1,0.0,18,2,0.779984,0.0016238879022303853,2.725688,2.3221622153048616,17.92857320995872,250000
E6,Diversified,1,0.0,18,3,0.52676,0.001957190884364466,2.725688,2.3221622153048616,17.92857320995872,250000
E6,Diversified,1,0.0,19,1,0.955416,0.0008090434329306931,2.877388,2.450692100224401,18.929782188549442,250000
E6,Diversified,1,0.0,19,2,0.805508,0.0015515717625857177,2.877388,2.450692100224401,18.929782188549442,250000
E6,Diversified,1,0.0,19,3,0.565368,0.001943177745458363,2.877388,2.450692100224401,18.929782188549442,250000
E6,Diversified,1,0.0,20,1,0.962192,0.0007476679942607078,3.02824,2.5779488141952585,19.936247863225976,250000
E6,Diversified,1,0.0,20,2,0.828096,0.0014790041806488775,3.02824,2.5779488141952585,19.936247863225976,250000
E6,Diversified,1,0.0,20,3,0.601308,0.0019193462063784715,3.02824,2.5779488141952585,19.936247863225976,250000
E6,Diversified,1,0.0,21,1,0.96774,0.0006926240933835318,3.180024,2.703554173640695,20.960566352557887,250000
E6,Diversified,1,0.0,21,2,0.849028,0.0014034446125982822,3.180024,2.703554173640695,20.960566352557887,250000
E6,Diversified,1,0.0,21,3,0.635696,0.0018864390428481855,3.180024,2.703554173640695,20.960566352557887,250000
E6,Diversified,1,0.0,22,1,0.972696,0.0006388336286361087,3.332008,2.825549990135961,22.0141150094721,250000
E6,Diversified,1,0.0,22,2,0.86736,0.001329606160251433,3.332008,2.825549990135961,22.0141150094721,250000
E6,Diversified,1,0.0,22,3,0.668632,0.001845163814656641,3.332008,2.825549990135961,22.0141150094721,250000
E6,Diversified,1,0.0,23,1,0.976704,0.0005913004765388723,3.482508,2.9535138439913746,23.013232674330308,250000
