experiment,strategy,rho_true,cannibalization_true,loe_year,acceleration_years,rnd_cost_synergy,capacity_profile,risk_policy_profile,assumed_value_choice,true_value_oracle,eNPV_regret_usd_m,P5_regret_usd_m,governance_choice_under_independence_additivity,governance_oracle_under_truth,wrong_governance_choice,selected_true_capacity_breach_probability,oracle_capacity_breach_probability,incremental_capacity_breach_probability,value_selected_true_capacity_breach_probability,value_selected_incremental_breach_vs_diversified,value_selected_true_P5_NPV_usd_m,value_selected_P5_shortfall_vs_diversified_usd_m,concentrated_true_P5_NPV_usd_m,diversified_P5_NPV_usd_m,concentrated_true_eNPV_usd_m,diversified_eNPV_usd_m,n_runs
E7,Parallel PIAP,0.2,0.0,12.0,0.0,0.2,low,growth,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.9784,-0.017289999999999917,-996.1278265476358,0.0,-996.1278265476358,-1148.2457813904614,-290.7554598617187,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.0,12.0,0.0,0.2,base,preservation,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.92067,-0.03385000000000005,-996.1278265476358,0.0,-996.1278265476358,-1148.2457813904614,-290.7554598617187,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.0,12.0,0.0,0.2,base,balanced,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.92067,-0.03385000000000005,-996.1278265476358,0.0,-996.1278265476358,-1148.2457813904614,-290.7554598617187,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.0,12.0,0.0,0.2,base,growth,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.92067,-0.03385000000000005,-996.1278265476358,0.0,-996.1278265476358,-1148.2457813904614,-290.7554598617187,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.0,12.0,0.0,0.2,high,preservation,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.03329,-0.06207,-996.1278265476358,0.0,-996.1278265476358,-1148.2457813904614,-290.7554598617187,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.0,12.0,0.0,0.2,high,balanced,concentrated,concentrated,0.0,0.0,concentrated,concentrated,False,0.03329,0.03329,0.0,0.03329,-0.06207,-996.1278265476358,0.0,-996.1278265476358,-1148.2457813904614,-290.7554598617187,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.0,12.0,0.0,0.2,high,growth,concentrated,concentrated,0.0,0.0,concentrated,concentrated,False,0.03329,0.03329,0.0,0.03329,-0.06207,-996.1278265476358,0.0,-996.1278265476358,-1148.2457813904614,-290.7554598617187,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.0,12.0,0.0,0.3,low,preservation,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.97834,-0.017349999999999977,-920.068849126223,0.0,-920.068849126223,-1148.2457813904614,-199.07621757402737,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.0,12.0,0.0,0.3,low,balanced,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.97834,-0.017349999999999977,-920.068849126223,0.0,-920.068849126223,-1148.2457813904614,-199.07621757402737,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.0,12.0,0.0,0.3,low,growth,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.97834,-0.017349999999999977,-920.068849126223,0.0,-920.068849126223,-1148.2457813904614,-199.07621757402737,-471.5690924597016,100000
