experiment,policy,rho,common_shock_probability,acceleration_years,loe_year,n_runs,eNPV_usd_m,se_eNPV_usd_m,median_NPV_usd_m,sd_NPV_usd_m,P5_NPV_usd_m,P10_NPV_usd_m,CVaR5_NPV_usd_m,probability_NPV_negative,eDevCost_usd_m,ePI,mean_launches,sd_launches,p_zero_launches,mean_pairwise_launch_correlation,effective_breadth_variance_ratio,mean_protected_runway_per_launch_years,mean_launches_before_loe,probability_at_least_one_launch_before_loe,mean_peak_annual_RnD_usd_m,mean_first_launch_year,probability_two_launches_by_year_9,low_capacity_breach_probability,low_mean_funding_need_usd_m,low_P95_funding_need_usd_m,base_capacity_breach_probability,base_mean_funding_need_usd_m,base_P95_funding_need_usd_m,high_capacity_breach_probability,high_mean_funding_need_usd_m,high_P95_funding_need_usd_m
E5,parallel,0.415,0.0,0.0,12.0,100000,-473.35332655325726,1.751118205690658,-559.4006505566923,553.7521982169706,-1429.7883144701884,-1148.2457813904614,-1662.071379150328,0.84748,1100.0424661470208,-0.43030459379555763,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,6.0,0.90471,0.48927,366.8536666666667,6.0,0.24108,0.96981,4495.4369125,6148.75,0.9054,3527.38105,5148.75,0.09919,1711.0309125,3148.75
E5,parallel,0.415,0.0,0.0,15.0,100000,81.20520559931997,3.853637670926952,-559.4006505566923,1218.6272317155606,-1178.5694457769846,-884.1468803601001,-1597.0797764627155,0.57598,1100.0424661470208,0.0738200643141961,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,9.0,0.90471,0.48927,366.8536666666667,6.0,0.24108,0.75892,3418.72975,6148.75,0.63979,2659.62975,5148.75,0.0955,1335.884375,3148.75
E5,parallel,0.415,0.0,0.0,18.0,100000,497.8532387718046,5.549630058102738,-559.4006505566923,1754.9471154937237,-1178.5694457769846,-884.1468803601001,-1597.3014868405496,0.54162,1100.0424661470208,0.4525763814515016,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,12.0,0.90471,0.48927,366.8536666666667,6.0,0.24108,0.54818,2918.3472625,6148.75,0.51073,2353.9920375,5148.75,0.0955,1327.0570875,3148.75
E5,staged,0.415,0.0,0.0,12.0,100000,-751.7082553172016,1.2040969275741624,-559.4006505566923,380.7688814745157,-1459.8971212476597,-1331.4634045150904,-1579.5758421904645,1.0,984.1375770192469,-0.763824360404948,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,3.450398470228029,0.79702,0.4502,319.1073333333334,7.158848897336849,0.0,1.0,5511.492343333333,7298.749999999997,1.0,4511.492343333333,6298.749999999997,0.25896,2511.4923433333333,4298.749999999997
E5,staged,0.415,0.0,0.0,15.0,100000,-359.3771857904018,1.992939289029905,-559.4006505566923,630.2227391771122,-1330.1602382052963,-1097.809864961862,-1440.468501823537,0.65268,984.1375770192469,-0.3651696614195776,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,6.288070210343646,0.87928,0.47707,319.1073333333334,7.158848897336849,0.0,0.96199,4127.196093333333,6826.749999999998,0.70361,3175.6917058333333,5826.749999999998,0.14439,1673.575618333333,3826.749999999998
E5,staged,0.415,0.0,0.0,18.0,100000,31.866130277568363,3.378451467717519,-559.4006505566923,1068.3601602326185,-1241.2211096880792,-1075.027247090695,-1346.3984969666717,0.63107,984.1375770192469,0.03237975159335386,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,9.250234881895857,0.89796,0.48575,319.1073333333334,7.158848897336849,0.0,0.64443,3296.1014658333334,6498.749999999998,0.60953,2646.375940833333,5498.749999999998,0.11229,1444.034378333333,3498.749999999998
E5,parallel,0.415,0.0,0.5,12.0,100000,-369.2275665675273,2.143749172043464,-559.4006505566923,677.9130115757507,-1396.2861491852223,-1155.0320722624815,-1670.9283106658554,0.79916,1111.0799264756552,-0.3323141366964633,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,6.417001027953709,0.90471,0.48927,395.0034666666667,5.541776524209537,0.24108,0.93944,4276.3077375,6148.75,0.89014,3336.1603125,5148.75,0.09612,1614.2537125,3148.75
E5,parallel,0.415,0.0,0.5,15.0,100000,185.33096558504994,4.300876266866622,-559.4006505566923,1360.0564937860695,-1193.6220906520296,-892.4132343631248,-1632.3604524740701,0.57598,1111.0799264756552,0.16680255053560336,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,9.41700102795371,0.90471,0.48927,395.0034666666667,5.541776524209537,0.24108,0.75892,3345.99125,6148.75,0.58649,2587.07125,5148.75,0.0955,1331.1129125,3148.75
E5,parallel,0.415,0.0,0.5,18.0,100000,601.9789987575347,6.003042349948748,-559.4006505566923,1898.3286716287619,-1193.6220906520296,-892.4132343631248,-1632.3604524740701,0.52631,1111.0799264756552,0.5417963050300185,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,12.41700102795371,0.90471,0.48927,395.0034666666667,5.541776524209537,0.24108,0.5427,2893.7018875,6148.75,0.51073,2350.62515,5148.75,0.0955,1327.0570875,3148.75
E5,staged,0.415,0.0,0.5,12.0,100000,-704.9355762735886,1.3049075656001607,-559.4006505566923,412.64800432820925,-1488.5030437338942,-1309.9215297891835,-1618.240577883331,1.0,998.8180511238472,-0.7057697600483003,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,3.933564346586199,0.83185,0.47308,331.1092,6.703711652053059,0.08407,1.0,5352.06934,7244.75,1.0,4352.06934,6244.75,0.2161,2352.06934,4244.75
