strategy,rho,loe_year,n_runs,eNPV_usd_m,se_eNPV_usd_m,median_NPV_usd_m,sd_NPV_usd_m,P5_NPV_usd_m,P10_NPV_usd_m,CVaR5_NPV_usd_m,probability_NPV_negative,eDevCost_usd_m,ePI,mean_launches,sd_launches,p_zero_launches,mean_pairwise_launch_correlation,effective_breadth_variance_ratio,mean_protected_runway_per_launch_years,mean_launches_before_loe,probability_at_least_one_launch_before_loe,mean_peak_annual_RnD_usd_m,low_capacity_breach_probability,low_mean_funding_need_usd_m,low_P95_funding_need_usd_m,base_capacity_breach_probability,base_mean_funding_need_usd_m,base_P95_funding_need_usd_m,high_capacity_breach_probability,high_mean_funding_need_usd_m,high_P95_funding_need_usd_m
Diversified,0.0,12.0,100000,-471.5690924597016,1.3962992241607481,-485.8732894464881,441.5485843473974,-1148.2457813904614,-1105.0420846667803,-1232.7242211949342,0.86707,1100.9666740247173,-0.4283227672421941,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,333.11733333333336,0.99569,4472.047,6098.75,0.95452,3476.40285,5098.75,0.09536,1568.7196375,3098.75
Diversified,0.0,15.0,100000,85.38614566574705,2.9677481293003547,127.09499006028994,938.4843610293011,-1148.2457813904614,-884.1468803601001,-1230.880019991988,0.44846,1100.9666740247173,0.0775556133353316,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,9.0,0.90862,0.6261,333.11733333333336,0.77312,3002.6641125,6098.75,0.60888,2229.5368,5098.75,0.09533,1009.1060375,3098.75
Diversified,0.0,18.0,100000,503.83485950905936,4.2175395702764,587.6271309369075,1333.7031163961205,-1148.2457813904614,-884.1468803601001,-1230.880019991988,0.38669,1100.9666740247173,0.45762952811934793,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.0,0.90862,0.6261,333.11733333333336,0.39981,2189.8189,6098.75,0.3739,1755.8437125,5098.75,0.09533,1007.672125,3098.75
Diversified,0.0,12.0,250000,-472.05919697342733,0.8839711367886506,-485.8732894464881,441.9855683943253,-1148.2457813904614,-1074.7184202802569,-1234.3204473537164,0.866744,1100.6255431508464,-0.4289008190942278,0.90742,0.8791746330463257,0.374224,0.000714840120791656,5.978549883486447,6.0,0.90742,0.625776,333.2234666666667,0.995468,4473.57234,6098.75,0.954588,3478.063675,5098.75,0.09486,1570.174745,3098.75
Diversified,0.0,15.0,250000,84.16047921661327,1.876362704980324,127.09499006028994,938.181352490162,-1148.2457813904614,-884.1468803601001,-1232.2080497757324,0.4495,1100.6255431508464,0.0764660421887725,0.90742,0.8791746330463257,0.374224,0.000714840120791656,5.978549883486447,9.0,0.90742,0.625776,333.2234666666667,0.773776,3005.377325,6098.75,0.608588,2231.5957,5098.75,0.09482,1010.009825,3098.75
Diversified,0.0,18.0,250000,502.05655449087357,2.665963685346779,587.6271309369075,1332.9818426733896,-1148.2457813904614,-884.1468803601001,-1232.2080497757324,0.387596,1100.6255431508464,0.456155644955865,0.90742,0.8791746330463257,0.374224,0.000714840120791656,5.978549883486447,12.0,0.90742,0.625776,333.2234666666667,0.400684,2192.102265,6098.75,0.374224,1757.335405,5098.75,0.09482,1008.46042,3098.75
