strategy,topology,rho,loe_year,acceleration_years,cannibalization,capacity_profile,risk_policy_profile,minimum_synergy,solution_exists,binding_P5_NPV_usd_m,binding_capacity_breach_probability,delta_eNPV_at_frontier_usd_m,n_runs
MSOG,same_indication,0.0,12.0,0.5,0.25,base,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.5,0.25,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.5,0.25,high,balanced,0.2,True,-973.5443608735134,0.0216,204.4224696617341,100000
MSOG,same_indication,0.0,12.0,0.5,0.25,high,growth,0.0,True,-1161.8183631345016,0.09535,18.57403884936551,100000
MSOG,same_indication,0.0,12.0,0.5,0.5,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.5,0.5,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.5,0.5,low,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.5,0.5,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.5,0.5,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.5,0.5,base,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.5,0.5,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.5,0.5,high,balanced,0.2,True,-973.5443608735134,0.0216,118.44415769265291,100000
MSOG,same_indication,0.0,12.0,0.5,0.5,high,growth,0.1,True,-1078.2944657538667,0.05673,25.51994228646858,100000
MSOG,same_indication,0.0,12.0,1.0,0.0,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.0,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.0,low,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.0,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.0,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.0,base,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.0,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.0,high,balanced,0.2,True,-985.9875931767822,0.0216,402.51388570951104,100000
MSOG,same_indication,0.0,12.0,1.0,0.0,high,growth,0.0,True,-1175.82010020594,0.09535,214.37682036299512,100000
MSOG,same_indication,0.0,12.0,1.0,0.1,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.1,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.1,low,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.1,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.1,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.1,base,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.1,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.1,high,balanced,0.2,True,-985.9875931767822,0.0216,364.4026464783959,100000
MSOG,same_indication,0.0,12.0,1.0,0.1,high,growth,0.0,True,-1175.82010020594,0.09535,176.26558113188,100000
MSOG,same_indication,0.0,12.0,1.0,0.25,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.25,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.25,low,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.25,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.25,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.25,base,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.25,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.25,high,balanced,0.2,True,-985.9875931767822,0.0216,307.2357876317234,100000
MSOG,same_indication,0.0,12.0,1.0,0.25,high,growth,0.0,True,-1175.82010020594,0.09535,119.09872228520746,100000
MSOG,same_indication,0.0,12.0,1.0,0.5,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.5,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.5,low,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.5,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.5,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.5,base,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.5,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.5,high,balanced,0.2,True,-985.9875931767822,0.0216,211.95768955393575,100000
MSOG,same_indication,0.0,12.0,1.0,0.5,high,growth,0.0,True,-1175.82010020594,0.09535,23.82062420741983,100000
MSOG,same_indication,0.0,12.0,1.5,0.0,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.0,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.0,low,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.0,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.0,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.0,base,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.0,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.0,high,balanced,0.2,True,-998.8471168185526,0.0216,520.2375225863744,100000
MSOG,same_indication,0.0,12.0,1.5,0.0,high,growth,0.0,True,-1190.266435314048,0.09535,329.7347224210436,100000
MSOG,same_indication,0.0,12.0,1.5,0.1,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.1,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.1,low,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.1,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.1,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.1,base,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.1,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.1,high,balanced,0.2,True,-998.8471168185526,0.0216,478.22480417249886,100000
MSOG,same_indication,0.0,12.0,1.5,0.1,high,growth,0.0,True,-1190.266435314048,0.09535,287.72200400716804,100000
MSOG,same_indication,0.0,12.0,1.5,0.25,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.25,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.25,low,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.25,base,preservation,,False,,,,100000
